artifact,description,source,source_url,retrieved_on,license,fingerprint
en_ewt-500-parser.udpipe,UDPipe tagger and dependency parser trained on the 500-sentence excerpt,"UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,9c7da27ef875c608b7e0d663e91135770f588e07e61d590a17d0f5fe9b499860
en_ewt-500-tagger.udpipe,UDPipe tagger trained on the 500-sentence excerpt alone,"UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,9c3907d37e9b1f896f6199b18df439cc02838b6a493207acb367d888dce6f5d2
en_ewt-held-out.conllu,"First 200 sentences of the EWT development split, used only for scoring","UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,468cbf678026eb46d631795133586dcc81feedbe1f63e100027e5309f4ff0e51
en_ewt-train-excerpt.conllu,First 500 sentences of the EWT training split,"UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,8eb319b01a7d19ceffeeb2b2b1d6ab89e4f8f1e7e85e79a88720661bfbc2774b
parser-held-out-score.csv,Held-out attachment scores for that parser,"UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,2e0ba9d065df212b72a8ec1af3cee19b21bdc07e8102689522a0307e4874b029
tagger-learning-curve.csv,Held-out accuracy for taggers trained on 100 to 2000 sentences,"UD English EWT v2.18, released 2026-05-15",https://github.com/UniversalDependencies/UD_English-EWT,2026-08-28,CC BY-SA 4.0,b1c614e3cdd17ae13b1959992cb440e43c7bf4533e936cd6cb58dae42f255911
