artifact,description,settings,source,license,built_on,fingerprint
split-study.csv,"Per-replicate model accuracy, balanced accuracy, two trivial-rule baselines and a paragraph-length rule, for 10 resamples of each split scheme across three tasks","glmnet logistic regression, penalty 0.01, mixture 0, tf-idf over 500 tokens, 75% training, seeds 1001-1010; president grouping uses the full name, not the surname","quanteda data_corpus_inaugural, 60 speeches 1789-2025 by 40 people",Speeches are US government works in the public domain,2026-08-29,ed0ba1ac51c019e95dc42db1f491d013d80c1b301b332f2cf3f957ab3b7eb01d
baselines.csv,"Largest-class accuracy, row, speech and person counts for each task","glmnet logistic regression, penalty 0.01, mixture 0, tf-idf over 500 tokens, 75% training, seeds 1001-1010; president grouping uses the full name, not the surname","quanteda data_corpus_inaugural, 60 speeches 1789-2025 by 40 people",Speeches are US government works in the public domain,2026-08-29,f3050fcd06acdf915aa2e5ac13076bb6289bf19cd4422a4a5dc31626176f5c3e
