artifact,description,settings,source,license,built_on,fingerprint
next-token-splits.csv,"Speech-level train, validation, and test assignments",development split seed 6301; selection split seed 6302; era-stratified speech rows,"quanteda data_corpus_inaugural, reshaped by R/inaugural-corpus.R",Speeches are US government works in the public domain,2026-09-01,fa6564a4936ff9537f8063e0ea86c0dde61a4b8841541b0cf59cd0f3c7e259c2
next-token-validation.csv,Validation perplexity for context-length and backoff-strength candidates,"training-only vocabulary 2500 tokens; paragraph-bounded contexts; backoff strengths 0.1,1,10,100,1000,10000","quanteda data_corpus_inaugural, reshaped by R/inaugural-corpus.R",Speeches are US government works in the public domain,2026-09-01,abdd656710d56b135a2fa036f73e1b93e6186f6b00cf65d52269418b7312012c
next-token-test.csv,"Untouched-test perplexity and top-1 accuracy for uniform, unigram, and selected models",test opened after validation selection; same tokenizer and vocabulary; uniform floor 2500,"quanteda data_corpus_inaugural, reshaped by R/inaugural-corpus.R",Speeches are US government works in the public domain,2026-09-01,0af1e12eed6a4662932f9b0c9e4906d6bab388dd38f1edf4f9edf2baab9d3a14
next-token-test-by-speech.csv,Per-speech test perplexity for the unigram baseline and selected model,speech-level paired comparison; no bootstrap or population interval,"quanteda data_corpus_inaugural, reshaped by R/inaugural-corpus.R",Speeches are US government works in the public domain,2026-09-01,963f8ec0248af151c1f531a09bab1388797e1e266f55200c3d40f2ba0463107a
