model_key,model_id,revision,license,task_scope,local_directory,model_card,checked_on
opus_en_fr,Helsinki-NLP/opus-mt-en-fr,dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,Apache-2.0,machine translation,Helsinki-NLP--opus-mt-en-fr--dd7f6540a7a48a7f4db59e5c0b9c42c8eea67f18,https://huggingface.co/Helsinki-NLP/opus-mt-en-fr,2026-09-06
qwen_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,Apache-2.0,abstractive summarization;paraphrasing;long-text generation;question answering;chatbot dialogue,Qwen--Qwen2.5-1.5B-Instruct--989aa7980e4cf806f80c7fef2b1adb7bc71aa306,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,2026-09-06
minilm_l6_v2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,Apache-2.0,semantic search indexing,sentence-transformers--all-MiniLM-L6-v2--1110a243fdf4706b3f48f1d95db1a4f5529b4d41,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,2026-09-23
